Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
Hilton Garden Inn Lucknow,4.3,Lucknow,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5663
The Cruze,4.2,Jamshedpur,0,0,0,0,0,0,0,0,0,5664
Hilton Garden Inn Lucknow,4.3,Lucknow,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5664
The Wilderness Retreat,4,Hyderabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Pet-friendly,Restaurant,Room service,Full-service laundry,Kid-friendly,5668
Sterling Darjeeling,4.2,Darjeeling,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,5678
Haveli hari Ganga,4.3,Haridwar,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,5678
Hotel Zaryab,4.7,Srinagar,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Accessible,5679
"Holiday Inn Cochin, an IHG Hotel",4.4,Kochi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5689
Lion Park Resort,4.5,Gir National park,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,5690
"Welcomhotel By ITC Hotels, Race Course, Coimbatore- LEED® Platinum and Zero Carbon Certified Premium Hotel| Centrally located",4.5,Coimbatore,5-star hotel,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,Restaurant,5695
Banjaar Tola,4.7,Kanha national park,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,5708
IIDL Suites,4.3,Delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5720
JW Marriott Mumbai Juhu,4.6,Mumbai,5-star hotel,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Breakfast,Beach access,5725
LP Vilas,4.4,Dehradun,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5848
Boche Island - Kumbalangi,4.1,Kochi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Spa,Restaurant,5855
Sayaji Hotel Indore,4.4,Indore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5874
"WOW Crest, Indore - IHCL SeleQtions",4.3,Indore,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar,Restaurant,5878
"Fortune Park Pushpanjali, Durgapur - Member ITC's hotel group",4.6,Durgapur,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,5881
The Ocean Pearl,4.4,Mangalore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,5891
Novotel Ahmedabad,4.6,Ahmedabad,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,5913
Hotel Ganges Grand - Varanasi,4,Varanasi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,5914
"MAYFAIR Convention, Bhubaneswar",4.5,Bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar,5975
"Holiday Inn Amritsar Ranjit Avenue, an IHG Hotel",4.4,Amritsar,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5991
Grand Mercure Mysore,4.5,Mysore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6000
Hotel AS Clarks Inn,4.3,Dalhousie,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,6000
The Solluna,4.5,Jim corbett national park,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,6000
Taj Chia Kutir Resort & Spa,5,Kalimpong,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,6000
Shimla Nature Ville,3.7,Shimla,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Air conditioning,6000
Hotel Gnanam,4.1,Thanjavur,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Air conditioning,6000
Lake Pichola Hotel,4.3,Udaipur,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Air conditioning,6000
Hotel Royal Orchid Jaipur,4.3,Jaipur,5-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Restaurant,6011
"Radisson Blu Hotel, Kochi",4.3,Kochi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6039
Novotel Ahmedabad,4.6,Ahmedabad,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,6042
Courtyard by Marriott Amritsar,4.4,Amritsar,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6046
Fairfield by Marriott Amritsar,4.3,Amritsar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6047
"The Oberoi Grand, Kolkata",4.4,Kolkata,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6048
Hotel Darjeeling,3.6,Darjeeling,Room service,Airport shuttle,Restaurant,Pet-friendly,Parking,Parking,Pet-friendly,Free Wi-Fi,Airport shuttle,6056
"Radisson Blu Hotel, Kochi",4.3,Kochi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6061
Hindustan Beach Retreat,4,Varkala,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Beach access,6071
Fariyas Resort Lonava,4.2,khandala,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,6100
The River's Edge Farm - A Boutique Stay,4.5,Dehradun,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Room service,Airport shuttle,Full-service laundry,Kid-friendly,6114
Hotel Kodaikanal,3.6,kodaikanal,Parking,Pool,Pet-friendly,Accessible,Pool,Pool,Fitness center,Pool,Full-service laundry,6116
Ramada by Wyndham,4.2,Dehradun,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6131
Hotel Jim Corbett National Park,3.4,Jim corbett national park,Room service,Parking,Spa,Free Wi-Fi,Room service,Air conditioning,Spa,Accessible,Free Wi-Fi,6134
Cocobay Resort,4.2,Kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6138
Radisson Gwalior,4.3,Gwalior,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6160
Lily Pad on the Vembanad,4.2,Kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Spa,Restaurant,Room service,6160
Comfort Hotel Vista,4.6,Lucknow,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,6160
IIDL Suites,3.8,Delhi,Apartment,Sleeps 10,Air conditioning,Airport shuttle,Elevator,Fireplace,Fitness center,Hot tub,Kitchen,6163
"Tree of Life Resort, Dehradun Foothills",4.5,Dehradun,Free breakfast,Free Wi-Fi,Free parking,Pool,Pet-friendly,Restaurant,Room service,Kitchen,Full-service laundry,6176
DoubleTree by Hilton Ahmedabad,4.5,Ahmedabad,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6182
Hyatt Raipur,4.3,Raipur,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,6188
Lemon Tree Hotel,4.2,Aurangabad,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6215
Swosti Premium - Luxury 5-Star Hotel in Bhubaneswar,4.3,Bhubaneswar,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6215
Park Ascent,4.2,Noida,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,6215
Gokulam Grand Hotel & Spa,4.3,Bangalore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6228
Hotel Visakhapatnam,4.5,Visakhapatnam,Breakfast included,Full-service laundry,Parking,Air conditioning,Accessible,Parking,Room service,Airport shuttle,Free Wi-Fi,6232
Hotel Agartala,3.7,Agartala,Parking,Pool,Air conditioning,Free Wi-Fi,Room service,Accessible,Air conditioning,Accessible,Restaurant,6258
Radisson Blu Hotel Indore,4.5,Indore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6266
The Park Indore,4.7,Indore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6272
"Holiday Inn Bengaluru Racecourse, an IHG Hotel",4.4,Bangalore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,6298
"Radisson Blu Hotel, Atria Bengaluru",4.4,Bangalore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6300
Ramada by Wyndham New Delhi Pitampura,3.9,Delhi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Accessible,6305
Capitol Hill,4.3,Ranchi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,6318
"The Greenwood, Guwahati : A Luxury Boutique Hotel",4.6,Guwahati,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,Restaurant,6335
The Sal Woods - Forest Retreat and Spa,3.9,Dehradun,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Pet-friendly,Spa,Restaurant,6384
Blue Lagoon Beach Resort,3.9,Chennai,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,6402
"Radisson Blu Hotel, Faridabad",4.6,Faridabad,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6437
"Radisson Blu Hotel, Jammu",4.3,Kashmir,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6440
Trident Hotel Cochin,4.5,Kochi,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6441
Hotel Mussoorie,4.6,Mussoorie,Parking,Parking,Fitness center,Pet-friendly,Spa,Airport shuttle,Restaurant,Pet-friendly,Air conditioning,6450
Bloomrooms @ Janpath,4.4,Delhi,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Full-service laundry,6451
"Lemon Tree Premier, Patna",4.1,Patna,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6472
"MAYFAIR Convention, Bhubaneswar",4.5,Bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar,6476
Hyatt Regency Ahmedabad,4.4,Ahmedabad,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6490
Uday Samudra Leisure,4.3,kovalam,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,6513
Hotel Rishikesh,3.5,Rishikesh,Fitness center,Restaurant,Pool,Free Wi-Fi,Spa,Parking,Pool,Parking,Pool,6530
Novotel Lucknow Gomti Nagar,4.5,Lucknow,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Bar,6551
Hotel Sandesh The Prince,4.1,Mysore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6551
Hyatt Regency Ahmedabad,4.4,Ahmedabad,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6552
Hotel Ranthambore,3.8,Ranthambore,Free Wi-Fi,Pool,Pet-friendly,Air conditioning,Air conditioning,Free Wi-Fi,Spa,Spa,Pet-friendly,6575
Evolve Back,4.7,Hampi,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,6578
Hotel Nainital,4.8,Nainital,Pet-friendly,Fitness center,Airport shuttle,Pet-friendly,Pool,Free Wi-Fi,Free Wi-Fi,Restaurant,Pool,6592
"Vivanta Vijayawada, MG Road",4.3,Vijayawada,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6600
Hotel Agra,4.9,Agra,Spa,Room service,Free Wi-Fi,Fitness center,Air conditioning,Pool,Air conditioning,Breakfast included,Free Wi-Fi,6618
"Holiday Inn Amritsar Ranjit Avenue, an IHG Hotel",4.4,Amritsar,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6630
Ramada by Wyndham Amritsar,4.3,Amritsar,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,6660
NOVANTA JAMSHEDPUR,4.4,Jamshedpur,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,Full-service laundry,6689
Kutmadan Resort,4.2,Cherrapunji,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,0,6700
The Landmark Towers,4.4,Kanpur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6719
Ratnamouli Palace,4.6,Guwahati,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,Restaurant,6720
The Guwahati Address,4.3,Guwahati,4-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,6720
Indore Marriott Hotel,4.4,Indore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6721
Kumarakom Park Resort,4.3,Kumarakom,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,6726
WelcomHeritage Badi Kothi,4.3,Allahabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,6738
Radisson Hotel,4.7,Jodhpur,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,6743
Palm Meadows Resort,4.5,Bangalore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6745
Hotel Lake and wood,4.4,Nainital,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,6754
Hotel Skylok,3.3,Hazaribagh,Free Wi-Fi,Kitchen,Full-service laundry,Kid-friendly,0,0,0,0,0,6771
The divine oak,4.7,Vaishno devi,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Air conditioning,6780
Sterling Lonavala,3.7,Lonavala,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,6788
"Four Points by Sheraton Hotel & Serviced Apartments, Pune",4.3,Pune,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6796
JC Residency ,4.5,Madurai,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,6799
Park Inn by Radisson New Delhi IP Extension,4.3,Delhi,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6828
Hilton Garden Inn Trivandrum,4.3,Trivandrum,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6837
Silent Shores Resort & Spa,4.3,Mysore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6838
Hotel Lidder Spring Resorts,4.4,Kashmir,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Airport shuttle,6850
Hotel Puri,3.4,Puri,Room service,Free Wi-Fi,Accessible,Room service,Accessible,Accessible,Parking,Air conditioning,Air conditioning,6864
"Lemon Tree Premier, Patna",4.1,Patna,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6882
Hilton Jaipur,4.4,Jaipur,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6885
"Vivanta Mangalore, Old Port Road",4.2,Mangalore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,6891
Hotel Alibaug,3.3,Alibaug,Pool,Airport shuttle,Air conditioning,Room service,Room service,Room service,Airport shuttle,Parking,Air conditioning,6892
Hotel Mcleodganj,4.1,Mcleodganj,Parking,Parking,Breakfast included,Fitness center,Full-service laundry,Room service,Fitness center,Airport shuttle,Spa,6915
Abad Whispering Palms | Resort in Kumarakom,4.3,Kumarakom,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6921
Vivanta Surajkund,4.5,Faridabad,5-star hotel,Breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,6946
Mosaic Hotel Noida,4.1,Noida,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6946
Little India Beach Cottages,4,Goa,House,Sleeps 10,5 bedrooms,5 bathrooms,Air conditioning,Pool,Free parking,Free Wi-Fi,No airport shuttle,6947
Pearl Courtyard,4.3,Varanasi,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,6957
Hotel Jodhpur,4,Jodhpur,Parking,Full-service laundry,Free Wi-Fi,Fitness center,Pet-friendly,Accessible,Airport shuttle,Accessible,Restaurant,6977
Casa Himalaya,5,Auli,5-star hotel,Free breakfast,Free Wi-Fi,Kitchen,pool,Air conditioning,Full-service laundry,Spa,Kid-friendly,7000
Hotel Park Krishna,4.4,Tirupati,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Air conditioning,7000
Sajjoys Varkala,4.7,Varkala,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Beach access,Restaurant,7018
Hotel Kovalam,3.2,kovalam,Breakfast included,Airport shuttle,Restaurant,Parking,Pet-friendly,Parking,Pet-friendly,Parking,Full-service laundry,7019
"Le Lac Sarovar Portico, Ranchi",4.2,Ranchi,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,7056
"The Greenwood Resort, Guwahati",4.3,Guwahati,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Bar,Restaurant,7111
Hyderabad Marriott Hotel & Convention Centre,4.4,Hyderabad,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7112
Chanakya BNR Hotel,4.4,Ranchi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,7116
The Carlton,4.5,kodaikanal,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,7123
"Radisson Blu Hotel, Guwahati",4.5,Guwahati,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7153
Hotel Almora,3.1,Almora,Air conditioning,Spa,Accessible,Breakfast included,Spa,Pet-friendly,Full-service laundry,Fitness center,Accessible,7184
"Fortune Sector 27, Noida - Member ITC's hotel group",4.1,Noida,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7196
Fortune Park BBD - Hotel in Lucknow,4.3,Lucknow,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7197
"Fortune Inn Haveli, Gandhinagar - Member ITC's hotel group",4.4,Gandhinagar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Spa,Restaurant,Room service,7224
Park Plaza Faridabad,4.1,Faridabad,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7252
The Gateway Hotel Marine Drive Ernakulam,4.3,Kochi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,7252
Courtyard by Marriott Ahmedabad,4.4,Ahmedabad,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7263
Golden Tulip Lucknow,4.2,Lucknow,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7271
Hotel Andaman,4.2,Andaman,Fitness center,Breakfast included,Parking,Room service,Pool,Accessible,Parking,Airport shuttle,Accessible,7278
Sheraton Grand Palace Indore,4.3,Indore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7280
Fairfield by Marriott Pune Kharadi,4.3,Pune,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,7280
Radisson Blu Hotel New Delhi Paschim Vihar,4.4,Delhi,5-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar,7285
The Park Hotel,4.4,Kolkata,5-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7295
Golden Tulip Vasundhara,4.1,Ghaziabad,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,7370
Hotel Leh Ladakh,3.2,Leh ladakh,Full-service laundry,Breakfast included,Fitness center,Fitness center,Air conditioning,Room service,Full-service laundry,Airport shuttle,Free Wi-Fi,7374
The Lalit Jaipur,4.4,Jaipur,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7381
ibis Mumbai Vikhroli,4.5,Mumbai,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Fitness center,Restaurant,Room service,Airport shuttle,7392
W Goa,4.5,Goa,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,7435
Hyatt Centric Janakpuri New Delhi,3.8,Delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7484
Grand Mercure Mysore,4.5,Mysore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7503
"Taj Club House, Chennai",4.4,Chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,7552
Hotel Wayanad,3,Wayanad,Pet-friendly,Breakfast included,Parking,Accessible,Breakfast included,Pet-friendly,Accessible,Full-service laundry,Fitness center,7585
Mountain Dew Hotel,4.5,Manali,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,7600
"Radisson Blu Hotel, Ludhiana",4.4,Ludhiana,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7602
Hotel Lake Paradise,4.3,Mahabaleshwar,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,7609
"Welcomhotel By ITC Hotels, Bhubaneswar-LEED Platinum Certified Premium Hotel Near the Airport| 1.5 hrs away from Puri",4.7,Bhubaneswar,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7616
"lebua Lucknow, Saraca Estate",4.3,Lucknow,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,7621
RNS Residency,4,Jog falls,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,7643
Green Trails Cottage,4.9,Kasauli,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,7654
Hotel Castle Rock,4.5,Mount abu,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,7655
Restwell Tapowan,4.4,Rishikesh,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Air conditioning,7658
Hotel Matheran,3.6,Matheran,Accessible,Parking,Full-service laundry,Pool,Free Wi-Fi,Room service,Restaurant,Pool,Room service,7668
Hotel Ajanta And Ellora Caves,4.5,Ajanta and ellora caves,Room service,Spa,Spa,Spa,Restaurant,Breakfast included,Pool,Spa,Airport shuttle,7736
Hotel Poovar,3.2,Poovar,Parking,Free Wi-Fi,Room service,Air conditioning,Free Wi-Fi,Restaurant,Accessible,Spa,Air conditioning,7776
The vintage Gulmarg,4.4,Gulmarg,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,7800
Sterling Mussoorie,4.2,Mussoorie,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,7800
Radisson Hotel Varanasi,4.2,Varanasi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7824
"Crowne Plaza New Delhi Rohini, an IHG Hotel",4.4,Delhi,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7825
Jaipur Marriott Hotel,4.5,Jaipur,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7840
Nidhiban Sarovar,4.2,Vrindavan,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,0,7860
Hotel Midland,3.8,Ujjain,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Air conditioning,7890
Hotel Lonavala,4,Lonavala,Free Wi-Fi,Breakfast included,Fitness center,Parking,Accessible,Fitness center,Pet-friendly,Free Wi-Fi,Breakfast included,7892
Zostel Leh,4.2,Leh ladakh,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,7900
